"ID";"class";"PE";"G";"PS";"TE"
723;36;4;1;5.2;15
724;36;3;0;5;15
725;36;5;0;3.9;15
726;36;3;1;5.4;15
727;36;4;1;7.4;15
728;36;7;0;4.3;15
729;36;6;1;6.7;15
730;36;5;0;4.4;15
731;36;4;0;5.3;15
732;36;4;0;5.3;15
733;37;5;0;4.6;20
734;37;5;1;6.9;20
735;37;6;1;6.4;20
736;37;6;1;6.7;20
737;37;5;0;4.1;20
738;37;6;0;4.6;20
739;37;7;0;5.3;20
740;37;5;1;7.1;20
741;37;6;0;6;20
742;37;6;0;4;20
743;37;4;1;4.9;20
744;37;4;0;4.1;20
745;37;4;0;4.4;20
746;37;5;0;4.8;20
747;37;5;0;4.5;20
748;37;4;0;3.6;20
749;37;6;0;5.7;20
750;37;7;1;6.8;20
751;37;6;1;7.3;20
752;38;5;0;3.5;18
753;38;5;0;3.5;18
754;38;5;0;4.9;18
755;38;5;1;4.8;18
756;38;5;1;5.8;18
757;38;5;1;5.9;18
758;38;4;1;5;18
759;38;6;0;4.3;18
760;38;4;1;4.6;18
761;38;4;0;3.6;18
762;38;4;0;3;18
763;38;6;0;4.5;18
764;38;4;0;3.9;18
765;38;5;0;4.2;18
766;38;5;1;6;18
767;38;6;1;6.5;18
768;38;5;0;3.4;18
769;39;4;1;5.4;19
770;39;4;1;5.6;19
771;39;4;0;3.6;19
772;39;6;0;4.7;19
773;39;4;1;5.7;19
774;39;4;1;4.8;19
775;39;7;1;6.4;19
776;39;5;1;4.9;19
777;39;5;1;5.3;19
778;39;5;1;5.5;19
779;39;6;0;3.9;19
780;39;5;0;5.1;19
781;39;4;0;4.8;19
782;39;3;1;4.6;19
783;39;4;0;5.2;19
784;39;6;1;6;19
785;40;8;1;6.4;2
786;40;8;1;5.1;2
787;40;9;1;7.7;2
788;40;9;1;7.4;2
789;40;8;1;6.8;2
790;40;10;1;6.8;2
791;40;9;1;8.2;2
792;40;10;1;7.6;2
793;40;9;1;7.5;2
794;40;8;1;6.5;2
795;40;7;1;4.3;2
796;40;10;1;7.7;2
797;40;8;1;7.5;2
798;40;9;1;6.5;2
799;40;10;1;8.6;2
800;40;9;1;5.4;2
801;40;8;1;4.5;2
802;40;6;1;3.8;2
803;40;8;1;6.9;2
804;40;8;1;6.6;2
805;41;6;1;5;18
806;41;3;0;3.4;18
807;41;5;0;2.5;18
808;41;5;1;5;18
809;41;6;0;3.8;18
810;41;5;0;3.4;18
811;41;5;0;3;18
812;41;5;1;4.4;18
813;41;5;1;3.6;18
814;41;4;1;4.2;18
815;41;6;1;5.3;18
816;41;5;0;2.9;18
817;41;5;0;2.8;18
818;41;6;0;3.7;18
819;41;5;1;4.2;18
820;41;4;1;3.2;18
821;41;3;1;3.6;18
822;41;5;1;4.1;18
823;41;4;0;3.2;18
824;42;3;1;5.3;12
825;42;7;0;6.6;12
826;42;5;0;4.1;12
827;42;5;1;5.5;12
828;42;5;0;4.8;12
829;42;4;1;4.5;12
830;42;3;0;3.9;12
831;42;5;1;5.9;12
832;42;5;1;5;12
833;42;7;1;7.1;12
834;42;7;0;5.2;12
835;42;5;1;7;12
836;42;6;1;7.3;12
837;42;3;1;4.1;12
838;42;6;0;5.5;12
839;42;6;0;4.9;12
840;42;6;1;7.2;12
841;42;5;0;4.1;12
842;42;5;1;4.4;12
843;42;4;1;5.3;12
844;42;4;1;3.6;12
845;43;7;0;6.7;12
846;43;5;1;4.2;12
847;43;5;0;5.6;12
848;43;4;1;4.7;12
849;43;6;1;5.6;12
850;43;4;1;6.2;12
851;43;6;0;4.7;12
852;43;5;0;5.4;12
853;43;5;1;6.7;12
854;43;5;0;4.8;12
855;43;5;0;5.5;12
856;43;4;0;5.6;12
857;43;6;0;4.3;12
858;43;5;0;5.2;12
859;43;7;0;5.9;12
860;43;4;0;4.5;12
861;43;6;0;5.7;12
862;44;5;0;4.2;14
863;44;6;1;6.7;14
864;44;6;1;6;14
865;44;6;1;6;14
866;44;5;0;4;14
867;44;5;0;5.1;14
868;44;4;1;4.9;14
869;44;5;0;3.9;14
870;44;6;0;4.5;14
871;44;4;0;3.3;14
872;44;6;0;4.3;14
873;44;8;1;6.4;14
874;44;5;1;5.2;14
875;44;7;1;6.2;14
876;44;7;1;5.7;14
877;44;5;0;3.6;14
878;44;6;0;5.1;14
879;44;5;1;5.1;14
880;44;5;0;3.7;14
881;45;6;0;4.3;20
882;45;6;1;7.9;20
883;45;5;1;4.8;20
884;45;7;1;7.7;20
885;45;6;0;6.3;20
886;45;4;0;4.9;20
887;45;5;0;5.2;20
888;45;3;1;7.9;20
889;45;6;0;6.2;20
890;45;6;1;6;20
891;45;5;0;4.8;20
892;45;5;0;6.2;20
893;45;4;0;5.6;20
894;45;6;0;5.1;20
895;45;4;0;4.5;20
896;45;5;0;5.5;20
897;45;6;1;7.1;20
898;45;5;0;4.8;20
899;45;5;0;4.9;20
900;46;4;1;5.5;18
901;46;4;1;5.5;18
902;46;6;1;6.1;18
903;46;4;0;4;18
904;46;4;0;3.5;18
905;46;4;0;3.4;18
906;46;6;1;6.2;18
907;46;4;1;5.1;18
908;46;4;0;3.5;18
909;46;6;1;6.3;18
910;46;5;1;6.1;18
911;46;6;1;5.7;18
912;46;6;1;3.9;18
913;46;5;1;5.6;18
914;46;4;0;3.6;18
915;46;5;0;5.2;18
916;46;8;1;8.4;18
917;46;3;0;3.1;18
918;46;2;1;5.1;18
919;46;6;1;6.5;18
920;46;3;1;4.5;18
921;46;4;1;5.3;18
922;46;4;0;3.7;18
923;47;4;1;5.3;13
924;47;8;0;5.5;13
925;47;5;1;5.8;13
926;47;5;0;3.7;13
927;47;6;0;5.4;13
928;47;4;1;4.9;13
929;47;5;0;4.1;13
930;47;6;1;5.5;13
931;47;6;1;6.1;13
932;47;4;1;3.9;13
933;47;5;0;5.2;13
934;47;5;1;4.4;13
935;47;5;0;4.3;13
936;47;5;0;3;13
937;47;4;1;5.9;13
938;47;4;1;4.4;13
939;47;7;0;5.5;13
940;48;6;1;5.8;6
941;48;4;0;1.8;6
942;48;7;0;5.5;6
943;48;5;0;2.1;6
944;48;6;0;3.6;6
945;48;6;0;1.9;6
946;48;4;1;4.4;6
947;48;8;1;5.1;6
948;48;4;0;2.5;6
949;48;5;1;2.6;6
950;48;5;0;3.6;6
951;48;5;0;3.4;6
952;48;6;1;6.1;6
953;48;8;1;7.4;6
954;48;7;0;5.2;6
955;48;6;1;4.5;6
956;48;6;1;5.3;6
957;48;5;0;4;6
958;48;5;0;4.2;6
959;49;4;1;5.4;7
960;49;6;1;5.7;7
961;49;4;0;3.2;7
962;49;7;1;6.3;7
963;49;5;1;4.2;7
964;49;5;0;4.4;7
965;49;5;1;5;7
966;49;6;0;4.3;7
967;49;5;0;4.2;7
968;49;5;1;4.7;7
969;49;5;1;4.1;7
970;49;6;1;5.4;7
971;49;6;1;5.2;7
972;49;5;0;4.8;7
973;49;6;1;4.9;7
974;49;5;0;4.5;7
975;49;6;0;3.5;7
976;49;8;1;6.9;7
977;49;4;0;5.3;7
978;49;5;0;3.4;7
979;50;4;0;5.2;25
980;50;6;1;6.7;25
981;50;5;1;6.8;25
982;50;5;0;5.6;25
983;50;6;0;5.6;25
984;50;2;1;6.5;25
985;50;5;0;5.1;25
986;50;5;0;7;25
987;50;7;0;6.4;25
988;50;5;0;6.4;25
989;50;6;1;7.4;25
990;50;5;0;5.8;25
991;50;4;1;6.7;25
992;50;5;0;5.3;25
993;50;5;0;5.4;25
994;50;5;1;7.2;25
995;50;5;0;5;25
996;50;6;1;6.3;25
997;50;5;1;7.6;25
998;50;4;1;5.9;25
999;51;5;0;4.2;16
1000;51;4;1;4.9;16
1001;51;5;0;3.1;16
1002;51;6;1;5.1;16
1003;51;5;1;5;16
1004;51;4;1;5.5;16
1005;51;5;1;3.7;16
1006;51;5;0;3.2;16
1007;51;5;1;5;16
1008;51;5;1;4.8;16
1009;51;5;0;2.4;16
