school,gender,age,geread,gevocab
789,1,100,5,5.8
789,2,109,6.4,6.2
789,2,100,4.5,6.7
789,1,102,4.5,3.1
789,1,101,4.8,3.1
789,1,103,4.3,5
789,1,107,6.4,3.8
789,2,109,3,2.1
789,2,111,4.8,3.8
789,1,110,4.3,3.6
789,1,110,8.3,4.4
789,2,99,5.8,5
789,2,104,2.8,3.6
789,1,101,3.1,6.8
789,1,104,7.8,3.2
789,2,111,4.8,4.7
789,2,114,3.1,2.8
789,2,107,2.8,3.7
789,1,111,5.8,7.3
789,1,112,4.4,2.6
789,1,108,3.5,2.8
789,2,108,4.6,6.2
789,2,109,4.2,2.8
789,1,105,4.9,4.6
789,2,113,3.5,7.2
789,2,106,4.9,3.4
789,2,109,2.5,2.4
789,2,114,1.1,1.7
789,2,111,2.6,2.7
789,1,109,2,3.4
789,2,101,4.7,3.2
789,2,103,2,1.8
789,1,109,4.9,7.4
789,1,106,3.7,3.2
789,1,102,3.7,4.4
789,2,97,4.3,3.3
789,2,110,4.9,10.9
789,1,109,3.8,5
789,2,110,4.5,5.5
789,2,106,4.7,4
789,1,105,3.7,4
789,1,108,5.2,3.3
789,1,118,2.2,1.8
789,1,112,4.4,2.8
789,2,107,6.5,8.1
789,1,106,5,5
789,1,106,3.9,5.7
789,2,107,4.5,2.8
815,1,113,2.5,2.5
815,2,103,4.5,6.8
815,1,102,3.9,5
815,1,100,6.2,4.3
815,2,108,4.5,3.6
815,2,103,4.8,4.9
815,2,98,5.2,4.6
815,1,96,3.5,2.7
815,1,105,4.9,4.1
815,2,115,0,1.9
815,2,104,2.1,3.2
815,2,108,3.5,6.2
815,1,104,3.1,3.9
815,2,109,3.1,2.9
815,2,108,3.8,4
815,1,110,3.9,4.9
815,2,103,6.7,5.2
815,2,104,2.3,2.6
815,1,101,2.6,3.1
815,2,110,4.3,11
815,1,109,3.7,11
815,2,109,12,5
815,2,112,3.9,4.7
815,1,106,4.9,3.2
815,1,105,3.5,4.7
815,2,106,4.3,6.2
815,2,108,3.3,11.2
815,1,105,1.9,2.1
815,1,113,1.6,2.4
815,2,103,3.6,7.3
815,2,98,3.9,4.9
815,2,109,8.3,3.5
815,1,101,4.9,3.1
815,2,109,12,11.2
815,1,108,3.9,4.1
815,2,111,7.8,2.8
815,1,102,6.4,4.8
815,2,112,7.8,7.5
815,2,102,2.4,2.7
981,1,111,2.9,4.2
981,2,110,2.1,2.8
981,2,107,6.4,10.9
981,1,109,6.4,11.2
981,1,102,3.2,4.5
981,2,113,3.1,3.2
981,1,101,2.8,2.2
981,1,109,3,2.8
981,1,103,3.7,5.4
981,1,101,2.8,4.9
981,1,111,3.1,4.2
981,1,103,2.4,3.4
981,2,103,3.9,4.8
981,2,115,2.2,3.8
981,2,104,2.7,6.7
981,2,110,4.7,7.5
981,1,111,2.6,2.7
981,1,108,2.4,4
981,2,105,6.4,5.2
981,1,104,3.3,5
981,2,106,4.8,5
981,2,103,5,5.7
981,1,101,6.4,6.2
981,1,106,12,11.2
981,2,111,4.5,3
981,2,103,3.2,1.9
981,1,101,4.7,4.7
981,2,109,3.5,10.9
981,1,101,2.8,3.9
981,1,110,6.4,3.1
981,2,107,3.9,2.8
981,1,106,2.5,4.8
981,2,110,10.6,4.5
981,2,111,9.2,5.4
981,1,111,4.8,10.9
981,2,116,2.1,2.2
981,1,106,2.7,5.5
981,1,108,2.8,3.1
981,1,104,5.4,10.9
981,2,108,3.1,3.2
981,2,117,4.4,3.8
981,2,111,3.1,4.4
981,1,113,4,3.3
981,2,107,4.7,3.5
981,1,108,5,6.7
981,2,110,3.8,3.9
981,2,128,4.4,4
981,1,110,3.9,2.9
981,2,105,4.9,3.5
981,1,108,4,2.8
981,1,122,3.7,5
981,1,104,3.4,3.7
981,2,107,2.5,4.1
981,2,101,3.1,3.3
981,1,109,3.5,3.4
981,1,115,2.1,2.2
981,2,105,10.6,6.7
981,1,110,3.5,2.8
981,2,104,3.3,4.2
981,2,121,3.9,2.7
981,2,108,2.6,2.3
981,2,108,8.7,6.3
981,2,127,3.8,4.6
981,2,110,3.3,7.5
981,1,104,4.6,4.5
981,1,97,4.5,4.3
981,2,110,3.9,5
981,1,102,4.7,4.3
981,2,109,4.9,4.5
981,2,112,3.5,4.4
981,1,114,4.7,3.3
981,1,105,5,8.2
981,1,108,3.3,2.7
981,1,112,4.1,5
981,1,107,4.4,3.1
981,1,101,4.4,4.6
981,1,101,3.1,2.3
981,2,112,2.4,2.8
981,2,115,3.4,3.9
981,1,103,5.2,6.2
981,2,107,4.4,5
981,1,108,4.6,4.7
981,1,107,3.9,4.3
981,1,108,4.1,4.8
981,1,109,4.8,4.1
981,2,116,4.1,4.9
981,2,105,5.2,3.4
981,2,105,4.9,4.3
1033,1,111,6.4,6.2
1033,2,107,4.3,7.5
1033,2,102,5.2,5.2
1033,1,109,4.6,10.9
1033,1,102,5,6.2
1033,1,112,3.9,4.6
1033,2,101,6.4,5
1033,1,106,2.2,4.6
1033,1,100,6.4,3.5
1033,1,103,4.3,4.7
1033,1,109,3.7,4
1033,1,105,2.3,3.1
1033,2,108,3.4,2.8
1033,2,112,3.3,4.7
1033,2,104,4,2.9
1033,2,106,4.8,3.9
1033,1,103,3.3,3.7
1033,2,103,6.3,5.7
1033,1,114,3.7,4
1033,1,117,2.7,3
1033,1,105,2.9,3.9
1033,2,111,12,9.2
1033,2,112,4.4,2.4
1033,1,112,3.9,11
1033,1,113,2.7,3
1033,1,109,7.8,3.4
1033,1,110,4.7,6.9
1033,2,115,3.3,5.1
1033,2,106,1.7,2.4
1033,1,106,4.5,4.7
1033,1,106,5.8,6.7
1033,1,111,4.6,3.8
1033,2,104,2.8,3.2
1033,2,109,8.7,4.9
1033,1,111,5.2,6.7
1033,1,112,3.1,4.5
1033,1,104,4.3,11
1033,1,112,4.3,6.7
1033,2,105,6.4,6.3
1033,1,104,7.2,3.8
1033,1,104,6.4,5.5
1033,1,109,2.9,3.8
1033,1,104,3.5,4.4
1033,2,110,9.2,5
1033,2,110,3.4,5.4
1033,1,109,3.5,11.2
1033,2,107,4.4,4.5
1033,2,111,4.6,4.9
1033,2,113,3.7,7.5
1033,1,110,4.8,8.2
1033,1,110,4.9,9.3
1033,2,104,2.6,2.8
1033,1,120,3.7,4.3
1033,2,110,3.1,5.5
1033,1,104,6.4,3.9
1033,2,111,5.8,6.7
1033,1,104,3,3.8
1033,2,109,12,11.2
1033,1,119,2.1,4.1
1033,2,103,4.9,4.1
1033,2,111,2.8,2.9
1033,1,102,3.1,2.9
1033,2,106,3.5,4.1
1033,1,112,8.3,11
1033,1,112,6.4,9.3
1033,1,101,2.9,4.3
1033,1,106,4,3.7
1033,1,111,12,5
1033,1,110,4.9,4.7
1033,2,103,2.8,2.8
1033,1,103,4.9,4.3
1033,1,108,12,5
1075,2,117,1.7,1.6
1075,2,105,2,2.4
1075,2,104,2.8,3.3
1075,2,105,2.7,2.3
1075,1,103,4.3,3.7
1075,1,105,6.4,3.8
1075,2,107,12,6.7
1075,2,111,2.1,1.6
1075,2,100,2.8,2
1075,1,111,12,10.9
1075,2,112,5.2,4.2
1075,1,111,3.9,4.8
1075,1,109,4.8,4.8
1075,2,107,2.7,2.9
1075,1,111,4.7,11
1075,1,103,3.2,2.7
1075,2,115,2.3,2.6
1075,2,108,8.7,7.3
1075,2,107,3.7,3.4
1075,1,101,4.2,3.5
1075,2,109,2.9,3.1
1075,1,110,3.9,5
1075,1,109,5.8,3.8
1075,1,102,10.6,5.5
1075,2,101,3.5,4.5
1075,2,110,5.2,3.1
1075,1,108,6.8,3.4
1075,2,107,6.4,4.6
1075,2,106,1.8,2.3
1075,1,110,3.9,4.2
1075,2,110,12,4.5
1075,2,117,1.4,3.1
1075,2,98,12,4.2
1075,1,115,2.3,2.5
1075,1,112,2.5,3.3
1075,1,104,4.2,3.5
1075,2,109,2.4,2.9
1075,2,104,1.9,1.8
1075,1,110,12,9.3
1075,2,106,4.6,11
1075,2,116,4.3,3.1
1075,1,112,7.3,11.2
1075,1,102,3.9,3.8
1075,2,95,4.4,3.2
1075,2,110,2.6,3
1075,2,104,3,4.6
1075,1,108,5.2,6.4
1075,1,103,3.7,6.5
1075,1,114,4,8.4
1075,1,110,7.8,3.9
1075,2,105,3.9,2.8
1075,2,104,6.4,3.2
1075,1,104,3.9,2.9
1075,2,112,4,4.2
1103,1,114,1.8,2.1
1103,2,101,2.7,2.8
1103,2,120,1.8,2.9
1103,1,110,2.7,3.1
1103,2,105,2.3,4.2
1103,1,108,2.8,6.6
1103,2,110,2.4,2.6
1103,2,109,12,4.9
1103,2,102,3.4,6.8
1103,2,108,8.2,3
1103,2,109,6.4,5.2
1103,1,114,3,2.6
1103,1,110,2.9,3.3
1103,1,118,2.8,4.2
1103,1,109,4.8,3.7
1103,1,104,2.3,2.2
1103,1,108,5,11.2
1103,2,98,2.9,3.3
1103,2,105,4.5,2.4
1103,2,111,4,4.5
1103,2,105,9.2,5
1103,2,106,3.2,3.6
1103,2,106,2.8,3.1
1103,1,105,4.9,4.5
1103,2,104,2.8,2.1
1103,1,108,3.1,2.7
1103,1,111,8.2,2.7
1103,1,106,3.3,2.7
1103,2,110,3.6,4.5
1103,1,102,3.1,3.7
1103,2,110,4.8,5.4
1103,1,115,2,1.8
1103,1,118,2.2,3.9
1103,2,111,4.1,3.6
1103,2,105,3.5,7.5
1103,1,106,4.4,6.7
1103,2,102,2.2,2
1103,2,99,4.1,4.2
1103,2,112,8.2,10.9
1103,1,118,1.9,1.7
1103,1,103,6.4,3.4
1103,1,116,3.1,2.9
1103,2,110,4.7,2.4
1103,1,117,4.2,3.2
1105,2,112,4.5,3.9
1105,2,101,3.1,4.9
1105,1,112,3.1,3
1105,1,109,7.5,8.4
1105,1,110,3.5,2.8
1105,2,107,4.1,4.4
1105,1,111,4.9,6.2
1105,2,109,3.5,3.4
1105,2,107,2.8,3.6
1105,1,102,1.8,1.1
1105,1,101,6.4,11
1105,1,111,8.7,6.7
1105,2,103,12,10.9
1105,1,105,12,8.2
1105,1,102,2.2,2.1
1105,2,105,3.1,2.2
1105,2,103,3.1,3
1105,2,113,3.6,4.2
1105,1,110,12,11.2
1105,2,107,3.1,6.2
1105,2,103,6.4,3.9
1105,2,111,3.5,3.1
1105,2,103,4.7,4.1
1105,1,110,4.3,4.4
1105,2,119,4.9,3.2
1129,2,113,2.6,4.2
1129,1,111,4.9,5
1129,2,110,4.9,4.5
1129,1,108,2.6,2.3
1129,1,105,4.3,6.7
1129,1,106,3.2,7.5
1129,2,105,3.9,6.3
1129,1,110,2.8,2.2
1129,2,110,12,4.5
1129,1,108,3.9,11.2
1129,2,112,6.4,6
1129,2,109,2.8,2.5
1129,1,111,1.4,1.9
1129,1,109,3.7,3
1129,1,105,1.4,2.1
1129,1,112,4.8,4.5
1129,2,102,2.9,2.9
1129,2,110,4.8,8.4
1129,2,109,3.3,3.1
1129,2,114,2.7,3.9
1129,1,112,3.8,4
1129,2,112,3.2,3.7
1129,1,103,4.5,3
1129,1,110,3.3,5.2
1129,1,103,4.1,4.8
1129,2,102,3.9,4.1
1129,1,112,2.6,2.9
1129,1,110,2.4,2.9
1129,1,97,4.9,3.1
1129,1,106,4.9,3.4
1129,2,111,4.4,3.8
1129,1,105,12,3.5
1129,1,112,1.9,3.6
1129,1,110,4.8,11.2
1129,1,110,4.9,3.1
1129,1,106,3.9,5.4
1129,2,114,3.1,2.4
1129,2,108,3.9,2.3
1129,2,110,4.8,5.4
1129,2,110,3.1,3.6
1129,2,115,3.4,2.9
1129,2,106,12,5
1129,1,112,12,4.4
1129,2,108,4.9,4.2
1129,1,107,12,11.2
1129,2,109,3.7,3.5
1133,1,101,6.4,7.5
1133,2,102,3.1,3.1
1133,1,118,4.5,4
1133,2,102,2,1.8
1133,2,111,4.4,4.5
1133,1,101,4.2,3.1
1133,2,110,4.7,4.4
1133,1,111,3.4,6.9
1133,2,110,4.4,3.1
1133,2,105,1.8,2.2
1133,1,103,6.6,3.9
1133,1,114,12,3.9
1133,2,108,3,4.2
1133,2,112,8.3,3.9
1133,1,106,2.4,3.1
1133,2,102,1.9,2.6
1133,1,111,3.8,6.2
1133,1,101,2,2.7
1133,1,101,3.1,3
1133,2,101,3.4,3.7
1133,1,102,3.5,4.4
1133,1,112,2.3,2.8
1133,2,108,10.6,4.8
1133,2,111,6.4,7.5
1133,1,108,4.9,4.7
1133,2,107,6.4,6.8
1133,2,113,4.6,2.4
1133,2,104,0.7,0.9
1133,1,104,4.9,3
1133,2,109,3.5,3.7
1133,2,102,2.2,3
1133,2,110,6.4,4.4
1133,1,101,4.3,5
1265,2,111,6.4,4.7
1265,1,110,4.6,4.7
1265,2,103,2.4,3.2
1265,1,122,4.4,3.9
1265,1,106,3,11
1265,1,102,4.1,5
1265,2,106,3.5,3.9
1265,1,110,4.9,3.8
1265,2,104,2,2.3
1265,2,121,3.3,3.2
1265,2,116,1.9,2.1
1265,2,107,4.8,5.5
1265,2,106,3.1,4.6
1265,1,109,2.8,3.3
1265,1,112,7.5,3.6
1265,1,109,6.4,4.6
1265,2,111,10.6,7.4
1265,1,111,3.3,4.7
1265,2,110,3.8,4.2
1265,2,108,2.4,3.8
1265,1,122,2.9,2.9
1265,1,106,4.9,10.9
1265,1,111,3.3,8.2
1265,1,105,4.8,11.2
1265,2,110,1.5,2.5
1265,1,111,5,2.9
1265,2,106,8.2,5
1265,1,101,3.8,6
1265,2,105,3.3,3.5
1265,1,108,1.6,3
1265,1,101,4.3,3.6
1265,1,104,6.4,6.7
1265,2,112,8.2,11.2
1265,1,107,6.4,5
1265,2,110,6.4,8.2
1265,1,109,4,6.2
1265,2,104,5,6.3
1265,2,104,3,3.6
1265,2,117,4.4,4.3
1265,1,104,6.4,11.2
1265,2,107,2.7,4.6
1265,2,108,3.8,2.8
1265,1,101,3.5,3.9
1265,1,101,5,4.7
1265,2,111,6.4,6.7
1265,2,108,5,3.4
1265,2,103,3.6,4
1265,1,104,2.9,4.4
1265,2,107,2.5,3.6
1265,1,106,4.9,4.8
1265,2,114,6.4,5.2
1265,1,102,2.4,3.5
1265,2,105,4.2,3.3
1265,2,112,3.3,3
1265,1,101,3.5,7.2
1265,1,109,4.8,6.8
1265,1,105,2.9,2.9
1265,1,105,2.8,4.7
1265,2,106,2.8,3.9
1265,2,110,4.9,7.5
1265,2,102,4.9,4
1265,2,117,7.9,4.6
1265,2,107,4.9,4.7
1265,1,112,3.9,11.2
1265,1,111,12,4
1265,2,111,4,3.1
1265,1,107,8.2,11.2
1265,1,113,2.6,3.1
1265,2,110,3.1,3.5
1265,2,102,5.2,11.2
1265,1,104,4.7,8.2
1265,1,103,3.1,3.9
1265,2,110,4,2.6
1265,2,127,4.4,4.4
1265,2,101,2.5,2.3
1265,1,103,3.4,3.9
1265,2,106,5.7,7.3
1265,2,125,4.3,2.9
1265,1,119,4.4,4.3
1265,2,105,2.7,4.7
1265,2,106,9.2,4.8
1266,2,104,2.7,2.3
1266,1,103,8.7,11.2
1266,1,110,3.1,3.6
1266,1,111,3,4.4
1266,2,102,6.4,6.8
1266,1,111,3.3,11.2
1266,1,109,3.5,3.1
1266,2,107,5.2,4.2
1266,1,101,5.4,5.5
1266,1,110,5.4,6.2
1266,1,111,3.3,3.6
1266,2,107,5.8,5
1266,1,110,5.2,3
1266,2,121,4.4,4.8
1266,1,107,3.7,7.2
1266,1,104,4.4,4
1266,1,108,2.9,3.7
1266,2,109,2.8,3.8
1266,2,107,4.7,6.2
1266,1,101,2.1,2.6
1266,1,110,6.4,11.2
1266,1,104,3,3.5
1266,1,110,4.4,5
1266,1,112,2.8,5.2
1266,2,105,3.1,0
1266,1,111,2.9,5
1266,1,115,2.8,5.2
1266,1,112,7.5,7.5
1266,1,102,6.4,4.4
1266,2,105,6.4,5
1266,1,110,4.4,3.5
1266,1,112,4.9,4.4
1266,2,111,9.2,11.2
1266,1,105,3.3,5
1266,2,111,3.9,3.9
1266,2,106,12,6.7
1266,2,112,6.4,11.2
1266,2,104,5,4.9
1266,1,102,5.2,4.9
1266,1,112,3.5,4.4
1266,1,103,3.1,2.9
1266,1,109,5.8,4.7
1266,2,102,4.1,3.5
1266,2,111,8.7,4.1
1266,1,107,3.1,2.8
1266,1,111,6.4,4.3
1266,1,118,3.2,3
1266,2,109,6.4,7.5
1266,1,106,3.3,5.4
1266,1,101,6.4,6.8
1266,2,103,3.8,3.3
1266,2,105,8.2,3.6
1266,2,103,1.4,2.6
1266,2,107,6.4,11
1266,2,104,3.3,8.1
1266,1,104,4.2,6.3
1266,1,109,4,4.3
1266,1,109,3.9,4.9
1266,1,106,5,5
1266,2,104,3.7,4.5
1266,1,103,4.8,6.7
1266,1,110,5.8,7
1266,2,102,3.7,3
1266,2,112,2.5,5
1266,1,111,8.7,4.9
1266,2,108,3.9,4.4
1266,1,110,3.3,2.8
1266,2,107,4.9,4.6
1266,2,102,2,3.7
1266,1,112,3.3,8.4
1266,1,104,6.4,4.5
1266,2,106,4.6,2.9
1266,1,105,3.9,4.1
1266,1,112,5.8,5
1266,2,106,3.8,4.5
1266,2,101,3.9,4.1
1266,2,107,4.4,2.8
1266,2,107,3.1,2.3
1266,1,107,3.3,4.2
1266,2,102,3.6,4.7
1266,1,111,4.3,4.2
1266,1,106,3.8,6.8
1266,1,108,4.3,8.4
1266,2,120,2.1,2.8
1321,2,103,3.7,3.7
1321,1,111,3.1,4.4
1321,1,108,4.9,5.5
1321,2,104,12,3.8
1321,2,109,3.7,3.8
1321,1,113,3.1,3
1321,1,106,2.8,2.3
1321,2,99,3.5,5.7
1321,2,102,7.8,5.2
1321,1,111,2.9,3.6
1321,1,104,10.6,11.2
1321,1,108,8.7,4.8
1321,1,103,2.9,4.2
1321,2,109,2.5,2.6
1321,1,106,10.6,8.9
1321,1,102,4.5,4.7
1321,1,111,10.6,9.3
1321,1,108,3.6,2.7
1321,1,109,9.2,4
1321,2,104,2.9,3.4
1321,2,107,3.5,2.5
1321,1,111,6.4,4.5
1321,1,110,4.7,6.2
1321,1,102,2.8,3.6
1321,2,106,3.9,3.3
1321,2,111,4.3,4.5
1321,1,102,4.7,3.6
1321,2,109,12,4.3
1321,2,108,6.4,11.2
1321,2,82,3,2.6
1321,2,108,2.8,4
1321,1,103,4.5,2.8
1321,1,109,4.9,3.6
1321,2,105,4.5,3.4
1321,1,103,2.8,4.1
1321,2,107,2.7,3.5
1321,1,102,4.6,3
1321,2,110,1.8,2.7
1321,2,107,3.9,4
1321,1,107,1.8,3.9
1321,2,105,5.2,8.2
1321,2,114,3.7,3.1
1321,2,105,1.9,2.2
1321,1,112,3.7,6.3
1321,1,102,8.3,4.9
1321,2,103,2.6,2.3
1321,2,110,4.9,11.2
1321,2,104,4.5,6.4
1321,1,106,4.9,4
1321,2,108,5.8,2.3
1321,1,102,3.8,3.2
1321,2,111,4.2,4.7
1321,2,101,2.9,2.5
1321,1,110,4.3,11.2
1321,1,98,4.9,7.3
1321,2,106,3.9,3.6
1321,2,110,4.7,4.2
1321,2,110,2.7,2.8
1321,1,105,2.7,3.7
1321,2,110,5.2,3.1
1321,1,102,5,3.1
1321,1,121,3.1,4.3
1321,1,104,6.6,4.7
1321,1,115,2.8,3
1321,2,110,4.4,3.2
1335,2,106,2.6,3.4
1335,2,108,3.7,3.1
1335,2,106,3.9,3.5
1335,1,101,3.8,3.1
1335,2,101,4.9,3.8
1335,2,110,3.7,3.1
1335,2,108,2.5,4.5
1335,2,105,5.8,3.3
1335,1,103,4.4,3.8
1335,1,113,4.7,5.2
1335,2,103,2.4,1.9
1335,2,102,3.3,2.9
1335,1,111,3,3.3
1335,1,110,3.5,4.2
1335,1,111,3.6,2.8
1335,2,105,8.3,7.2
1335,2,115,3.1,1.6
1335,2,105,12,7.5
1335,2,114,4.2,3.9
1335,1,111,7.8,3.2
1335,1,102,2.1,2.9
1335,1,115,4.9,8.2
1335,1,108,3.1,4.4
1335,1,108,3.9,4.4
1335,2,109,6.3,11.2
1335,1,110,12,3.9
1335,1,110,4.7,6.2
1335,2,101,3.6,3.4
1335,2,108,6.4,3.5
1335,2,111,8.2,11.2
1335,2,111,4.9,11
1335,2,103,4.5,4.3
1335,1,109,2.8,2.9
1335,1,105,3.9,4.4
1335,1,102,3.3,6.4
1335,1,96,2.9,3.1
1335,2,103,3.9,4.1
1335,1,118,2.6,4.3
1335,2,108,8.3,4.5
1329,1,111,6.4,7.4
1329,1,114,3.5,2.7
1329,2,111,3.7,3.5
1329,1,101,2.5,1.6
1329,1,103,4,6.7
1329,1,106,6.4,8.2
1329,2,109,12,4.7
1329,2,104,4,3.8
1329,2,109,4.5,6.3
1329,2,112,3,2.1
1329,2,109,6.4,5
1329,2,98,3.7,4.3
1329,2,107,4,2.5
1329,1,101,2.8,3.7
1329,2,112,3.5,6.2
1329,1,102,6.4,7.4
1329,1,110,5,3.8
1329,2,112,5,6.3
1329,1,98,2.7,2.2
1329,2,118,3.3,4.5
1329,1,104,2.7,2.5
1329,1,107,3.2,2.5
1329,2,107,4.6,3.5
1329,2,109,4.6,2.6
1329,1,107,6.3,5.4
1329,2,109,5.8,11.2
1329,2,102,5,3
1329,2,105,6.4,3.1
1329,1,103,6.4,7.4
1329,1,106,3.5,4.1
1329,1,96,2.5,1.1
1329,1,100,3.9,2.4
1329,1,112,2.8,11
1329,2,107,2.5,2.7
1329,1,96,3,7.3
1329,1,101,4.9,4.9
1329,1,106,3.3,4.5
1329,1,109,6.4,11.2
1329,2,109,3.3,3.9
1329,1,111,3.5,3.3
1329,2,123,3.3,2.4
1329,1,106,3.9,5.5
1329,1,114,6.4,8.9
1329,1,112,3.8,3.4
1329,2,104,1.7,1.8
1329,1,109,2.3,3
1329,1,112,2,1.8
1329,1,101,3.3,3
1329,2,105,3.8,2.5
1329,1,111,12,11.2
1329,2,118,4.9,3.3
1329,1,110,4.1,6.3
1329,1,112,3.8,4.6
1329,1,111,2.7,3
1329,1,112,8.7,11.2
1329,2,107,6.4,5.2
1329,2,101,7.6,7.4
1329,2,106,4,3
1329,1,115,4.3,3.8
1329,2,111,4.2,3.8
1329,1,101,2.9,5.7
1329,2,109,3.1,3.8
1329,1,101,3.1,3.9
1329,2,104,2,1.5
1329,2,110,4.1,3.3
1329,2,104,3.4,2.9
1329,2,110,6.4,5
1329,1,111,4.7,6.8
1329,1,111,4.1,4
1329,2,111,4.6,5
1329,1,111,5.1,3.7
1329,2,99,4.5,5.4
1329,2,104,3.3,4
1329,2,109,7,11
1329,1,109,3.1,3.7
1329,1,101,4,2.9
1329,2,108,4.3,2.8
1329,1,108,5.2,7.3
1329,1,102,2.9,4.2
1329,1,105,3.3,6.2
1329,2,105,2.8,2.3
1329,2,106,3.3,3.7
1329,2,109,1.9,1.1
1329,1,107,2.8,3
1329,2,108,3.8,4.5
1329,1,110,10.6,11.2
1329,1,110,6.4,6.2
1329,1,111,5,4.1
1329,2,112,4.8,3.2
1329,1,101,4.9,8.9
1385,1,119,2.7,1.5
1385,2,111,3.8,5
1385,2,103,2,2.8
1385,1,100,6.9,2.5
1385,1,110,2.2,2.4
1385,2,104,4.7,4.5
1385,1,119,2.1,2.9
1385,2,110,7.8,4.2
1385,1,109,3.9,5.8
1385,2,109,2.2,2.5
1385,1,105,12,7.5
1385,1,103,5.2,8.2
1385,1,111,2.8,3.2
1385,2,105,2.6,2
1385,2,104,4.9,2.9
1385,1,103,3.7,3.7
1385,2,124,4.9,5.1
1385,2,113,4.3,3.7
1385,2,103,6.4,4.5
1385,2,117,2.7,4.2
1385,2,108,6.6,3.4
1385,2,110,4.2,4.5
1385,1,104,6.4,11.2
1385,1,103,3.5,3
1385,2,110,3.1,6.7
1385,1,105,8.3,3.9
1385,1,119,4.1,2.5
1385,1,112,4,4.3
1385,2,107,3.5,2.9
1385,2,112,2.4,2.4
1385,2,113,4.6,4
1385,2,107,2.4,2
1385,1,102,4.5,5
1385,1,106,9.2,11.2
1385,1,105,6.4,11
1385,2,106,2.5,2.5
1385,1,112,3.4,2.7
1385,2,104,6.4,6.8
1385,1,101,2.6,1.8
1385,1,101,6.4,7.5
1385,1,111,4.4,3.1
1385,2,109,6.4,3.9
1385,1,101,3.7,2.7
1385,2,110,3.5,3.6
1385,2,106,5,4.9
1385,2,112,1.8,4.6
1385,2,107,5.8,8.4
1385,1,101,8.7,4.3
1385,1,111,2.1,3.4
1385,2,104,4.6,3.7
1617,1,105,3.1,2.9
1617,2,111,2.6,2.3
1617,2,106,1.8,1.1
1617,1,103,2.8,3
1617,1,108,4.4,4.3
1617,2,109,2.9,2.4
1617,1,102,5,11.2
1617,1,108,3.1,2.7
1617,2,111,4.9,11.2
1617,2,101,4.8,4.7
1617,1,102,3.9,2.4
1617,1,102,4.3,11
1617,2,104,4.9,5
1617,1,111,1,1.5
1617,2,108,5,4.2
1617,1,110,3,4
1617,2,101,1.9,1.9
1617,2,112,2.6,3
1617,1,101,4.3,3.8
1617,2,101,2.7,2.5
1617,1,104,0.4,1.8
